24, 0.223041
25, 0.148408
26, 0.175206
27, 0.190137
28, 0.181927
29, 0.377976
30, 0.159463
31, 0.230789
32, 0.301832
33, 0.131278
34, 0.313893
35, 0.313524
36, 0.362218
37, 0.471640
38, 0.243820
39, 0.272563
40, 0.265509
41, 0.545159
42, 0.434845
43, 0.435789
44, 0.354741
45, 0.654412
46, 0.653788
47, 0.981165
48, 0.412433
49, 0.548659
50, 0.419532
51, 0.387403
52, 0.071874
53, 0.855470
54, 0.035319
55, 0.486462
56, 0.396617
57, 0.528445
58, 0.474566
59, 0.911929
60, 0.671237
61, 0.354722
62, 0.673182
63, 0.580885
64, 0.425358
65, 0.677110
66, 0.285787
67, 0.615879
68, 0.942828
69, 0.557479
70, 0.655886
71, 0.675908
72, 0.944595
73, 0.141192
74, 0.981423
75, 0.842396
76, 1.203875
77, 1.127441
78, 0.130716
79, 0.223951
80, 0.558708
81, 0.648542
82, 0.874161
83, 1.158570
84, 0.620686
85, 0.683128
86, 0.897355
87, 0.946695
88, 0.963323
89, 0.848899
90, 0.030776
91, 0.056318
92, 1.308741
93, 0.029893
94, 1.297335
95, 0.844060
96, 1.177438
97, 1.074260
98, 0.822106
99, 2.381518
100, 1.284420
